,UserId,ClusterId
176,304542,2
177,361914,1
178,276108,2
179,333480,1
180,376509,1
181,292740,1
182,350112,2
183,266889,2
184,311955,1
185,283521,1
186,273294,2
187,330666,1
188,289926,1
189,261492,1
190,318864,1
191,308637,1
192,353703,2
193,366009,1
194,325269,1
195,382641,1
196,372414,1
197,343980,1
198,260211,1
199,299166,1
200,327852,1
201,315798,2
202,344484,1
203,270984,1
204,342699,1
205,371385,2
206,297885,1
207,359331,1
208,285831,1
209,341418,1
210,370104,1
211,267918,1
212,296604,1
213,358050,2
214,313236,1
215,348327,1
216,303513,1
217,320145,1
218,383670,1
219,310170,1
220,338856,1
221,326802,1
222,355488,2
223,281988,1
224,300447,1
225,329133,1
226,317079,1
227,272265,1
228,335790,1
229,364476,1
230,262542,1
231,352674,2
232,279174,1
233,324240,1
234,379575,2
235,351141,1
236,277641,1
237,322707,1
238,361662,1
239,294273,1
240,378294,1
241,304794,1
242,349860,1
243,276360,1
244,321426,1
245,331695,1
246,376761,1
247,292992,1
248,295071,2
249,266637,1
250,356769,2
251,283269,1
252,330414,1
253,375480,1
254,347046,1
255,273546,1
256,318612,1
257,337323,1
258,382389,1
259,261744,2
260,308889,2
261,353955,1
262,280455,1
263,372666,1
264,260463,1
265,303492,1
266,317835,1
267,375207,1
268,340662,1
269,355005,2
270,316554,1
271,373926,1
272,282009,1
273,339381,2
274,280728,1
275,364707,1
276,287133,1
277,344505,1
278,313992,2
279,371364,1
280,320397,1
281,265104,1
282,293790,1
283,351162,2
284,271509,1
285,328881,1
286,357567,1
287,298368,1
288,327054,1
289,304773,1
290,278166,1
291,362145,1
292,335538,1
293,284571,1
294,341943,1
295,325773,2
296,262290,2
297,383145,1
298,276885,1
299,291228,1
300,334257,1
301,348600,2
302,310149,2
303,324492,1
304,367521,1
305,381864,1
306,347067,1
307,275604,1
308,332976,2
309,322959,1
310,308868,1
311,366240,1
312,331443,1
313,345786,2
314,321678,1
315,266385,1
316,379050,1
317,272790,1
318,330162,1
319,279195,1
320,336567,1
321,359100,1
322,363426,2
323,369831,2
324,263571,1
325,343476,1
326,292509,1
327,261996,2
328,296835,2
329,319368,1
330,376740,2
331,356286,2
332,317583,1
333,360612,1
334,342195,1
335,356538,1
336,268695,1
337,260715,2
338,375459,1
339,301959,1
340,316302,1
341,355257,1
342,267414,1
343,281757,1
344,259434,1
345,339633,1
346,353976,1
347,266133,1
348,280476,1
349,352191,1
350,344253,2
351,307587,1
